Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.0,0.24,0.66,0.1
1,0.0,0.42,0.54,0.04
2,0.0,0.32,0.66,0.02
3,0.0,0.3,0.62,0.08
4,0.0,0.24,0.64,0.12
5,0.0,0.36,0.56,0.08
6,0.0,0.4,0.56,0.04
7,0.0,0.42,0.48,0.1
8,0.0,0.3,0.7,0.0
9,0.0,0.32,0.56,0.12
10,0.0,0.44,0.36,0.2
11,0.0,0.28,0.46,0.26
12,0.0,0.48,0.5,0.02
13,0.0,0.44,0.42,0.14
14,0.0,0.32,0.68,0.0
15,0.0,0.28,0.64,0.08
16,0.0,0.4,0.6,0.0
17,0.0,0.46,0.48,0.06
18,0.0,0.38,0.58,0.04
19,0.0,0.5,0.4,0.1
20,0.0,0.48,0.36,0.16
21,0.0,0.36,0.52,0.12
22,0.0,0.26,0.72,0.02
23,0.0,0.4,0.52,0.08
24,0.0,0.14,0.86,0.0
25,0.0,0.46,0.52,0.02
26,0.0,0.28,0.72,0.0
27,0.02,0.42,0.48,0.08
28,0.0,0.44,0.56,0.0
29,0.0,0.4,0.54,0.06
30,0.0,0.5,0.36,0.14
31,0.0,0.42,0.54,0.04
32,0.02,0.8,0.0,0.18
33,0.0,0.3,0.52,0.18
34,0.0,0.82,0.06,0.12
35,0.0,0.32,0.56,0.12
36,0.0,0.3,0.7,0.0
37,0.0,0.32,0.56,0.12
38,0.0,0.66,0.22,0.12
39,0.02,0.36,0.52,0.1
40,0.0,0.24,0.76,0.0
41,0.0,0.32,0.54,0.14
42,0.0,0.68,0.18,0.14
43,0.0,0.32,0.52,0.16
44,0.0,0.28,0.66,0.06
45,0.0,0.42,0.48,0.1
46,0.0,0.24,0.7,0.06
47,0.0,0.3,0.64,0.06
48,0.02,0.46,0.46,0.06
49,0.0,0.32,0.6,0.08
50,0.0,0.78,0.0,0.22
51,0.02,0.28,0.54,0.16
52,0.0,0.72,0.06,0.22
53,0.0,0.54,0.38,0.08
54,0.0,0.34,0.58,0.08
55,0.0,0.36,0.56,0.08
56,0.0,0.82,0.02,0.16
57,0.0,0.4,0.56,0.04
58,0.0,0.88,0.0,0.12
59,0.0,0.42,0.52,0.06
60,0.0,0.52,0.38,0.1
61,0.0,0.4,0.48,0.12
62,0.02,0.4,0.36,0.22
63,0.0,0.44,0.44,0.12
64,0.0,0.32,0.42,0.26
65,0.0,0.26,0.68,0.06
66,0.0,0.56,0.38,0.06
67,0.0,0.28,0.6,0.12
68,0.0,0.42,0.5,0.08
69,0.0,0.22,0.68,0.1
70,0.0,0.26,0.7,0.04
71,0.0,0.38,0.48,0.14
72,0.0,0.22,0.74,0.04
73,0.0,0.36,0.5,0.14
74,0.0,0.56,0.18,0.26
75,0.0,0.34,0.56,0.1
76,0.0,0.34,0.6,0.06
77,0.0,0.34,0.5,0.16
78,0.0,0.52,0.36,0.12
79,0.0,0.36,0.54,0.1
80,0.0,0.4,0.48,0.12
81,0.0,0.52,0.4,0.08
82,0.0,0.38,0.5,0.12
83,0.0,0.38,0.54,0.08
84,0.0,0.56,0.24,0.2
85,0.0,0.38,0.46,0.16
86,0.0,0.38,0.6,0.02
87,0.0,0.3,0.6,0.1
88,0.0,0.24,0.7,0.06
89,0.0,0.38,0.54,0.08
90,0.0,0.2,0.8,0.0
91,0.0,0.38,0.48,0.14
92,0.0,0.22,0.7,0.08
93,0.0,0.32,0.62,0.06
94,0.0,0.2,0.78,0.02
95,0.0,0.36,0.52,0.12
96,0.02,0.4,0.5,0.08
97,0.0,0.46,0.44,0.1
98,0.0,0.32,0.56,0.12
99,0.0,0.32,0.56,0.12
100,0.0,0.52,0.44,0.04
101,0.0,0.38,0.58,0.04
102,0.0,0.36,0.46,0.18
103,0.0,0.36,0.54,0.1
104,0.0,0.32,0.44,0.24
105,0.0,0.46,0.48,0.06
106,0.0,0.84,0.08,0.08
107,0.0,0.36,0.56,0.08
108,0.0,0.36,0.6,0.04
109,0.0,0.4,0.56,0.04
110,0.0,0.28,0.54,0.18
111,0.0,0.34,0.58,0.08
112,0.0,0.42,0.58,0.0
113,0.0,0.4,0.48,0.12
114,0.0,0.22,0.76,0.02
115,0.0,0.52,0.48,0.0
116,0.0,0.8,0.16,0.04
117,0.0,0.28,0.6,0.12
118,0.0,0.86,0.0,0.14
119,0.0,0.36,0.5,0.14
