Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.36,0.58,0.0,0.06
1,0.44,0.3,0.24,0.02
2,0.4,0.46,0.14,0.0
3,0.54,0.26,0.18,0.02
4,0.14,0.7,0.12,0.04
5,0.3,0.34,0.26,0.1
6,0.54,0.4,0.04,0.02
7,0.42,0.26,0.3,0.02
8,0.42,0.06,0.44,0.08
9,0.28,0.32,0.3,0.1
10,0.12,0.24,0.42,0.22
11,0.26,0.3,0.34,0.1
12,0.54,0.0,0.46,0.0
13,0.34,0.34,0.24,0.08
14,0.96,0.04,0.0,0.0
15,0.36,0.28,0.34,0.02
16,0.64,0.02,0.34,0.0
17,0.36,0.26,0.32,0.06
18,0.34,0.08,0.58,0.0
19,0.28,0.26,0.38,0.08
20,0.48,0.44,0.08,0.0
21,0.38,0.28,0.32,0.02
22,0.3,0.56,0.12,0.02
23,0.24,0.3,0.38,0.08
24,0.14,0.66,0.0,0.2
25,0.36,0.26,0.34,0.04
26,0.78,0.22,0.0,0.0
27,0.28,0.36,0.26,0.1
28,0.78,0.22,0.0,0.0
29,0.42,0.3,0.28,0.0
30,0.48,0.14,0.36,0.02
31,0.38,0.38,0.18,0.06
32,0.0,0.0,1.0,0.0
33,0.32,0.32,0.32,0.04
34,0.0,0.02,0.98,0.0
35,0.36,0.34,0.26,0.04
36,0.66,0.2,0.14,0.0
37,0.34,0.28,0.32,0.06
38,0.26,0.18,0.56,0.0
39,0.3,0.44,0.22,0.04
40,0.98,0.0,0.02,0.0
41,0.3,0.3,0.36,0.04
42,0.64,0.04,0.32,0.0
43,0.32,0.26,0.36,0.06
44,0.2,0.28,0.4,0.12
45,0.34,0.24,0.4,0.02
46,0.04,0.1,0.86,0.0
47,0.34,0.3,0.22,0.14
48,0.26,0.5,0.22,0.02
49,0.24,0.4,0.26,0.1
50,0.0,0.08,0.92,0.0
51,0.42,0.32,0.2,0.06
52,0.0,0.0,1.0,0.0
53,0.32,0.38,0.2,0.1
54,0.26,0.08,0.66,0.0
55,0.36,0.28,0.28,0.08
56,0.0,0.0,1.0,0.0
57,0.44,0.3,0.26,0.0
58,0.0,0.0,1.0,0.0
59,0.32,0.36,0.28,0.04
60,0.0,0.0,1.0,0.0
61,0.26,0.3,0.4,0.04
62,0.14,0.38,0.26,0.22
63,0.24,0.3,0.46,0.0
64,0.28,0.42,0.24,0.06
65,0.22,0.34,0.3,0.14
66,0.4,0.44,0.12,0.04
67,0.36,0.3,0.26,0.08
68,0.76,0.18,0.02,0.04
69,0.52,0.24,0.18,0.06
70,0.24,0.76,0.0,0.0
71,0.44,0.3,0.24,0.02
72,0.5,0.3,0.16,0.04
73,0.34,0.26,0.34,0.06
74,0.24,0.28,0.4,0.08
75,0.46,0.26,0.24,0.04
76,0.1,0.44,0.14,0.32
77,0.36,0.24,0.32,0.08
78,0.1,0.32,0.56,0.02
79,0.42,0.28,0.28,0.02
80,0.36,0.5,0.06,0.08
81,0.32,0.3,0.34,0.04
82,0.02,0.44,0.28,0.26
83,0.34,0.38,0.22,0.06
84,0.3,0.38,0.28,0.04
85,0.48,0.3,0.2,0.02
86,0.14,0.6,0.26,0.0
87,0.32,0.2,0.36,0.12
88,0.22,0.62,0.08,0.08
89,0.5,0.2,0.28,0.02
90,0.28,0.68,0.0,0.04
91,0.36,0.28,0.32,0.04
92,0.34,0.26,0.12,0.28
93,0.4,0.32,0.26,0.02
94,0.58,0.12,0.24,0.06
95,0.32,0.36,0.24,0.08
96,0.22,0.6,0.02,0.16
97,0.34,0.16,0.4,0.1
98,0.4,0.06,0.52,0.02
99,0.28,0.36,0.34,0.02
100,0.0,0.44,0.56,0.0
101,0.42,0.3,0.28,0.0
102,0.34,0.64,0.0,0.02
103,0.26,0.38,0.34,0.02
104,0.42,0.4,0.1,0.08
105,0.38,0.26,0.3,0.06
106,0.06,0.06,0.86,0.02
107,0.4,0.34,0.22,0.04
108,0.4,0.44,0.16,0.0
109,0.38,0.28,0.3,0.04
110,0.26,0.36,0.22,0.16
111,0.4,0.26,0.26,0.08
112,0.24,0.52,0.18,0.06
113,0.42,0.28,0.26,0.04
114,0.28,0.58,0.04,0.1
115,0.3,0.3,0.34,0.06
116,0.0,0.06,0.92,0.02
117,0.48,0.24,0.18,0.1
118,0.0,0.0,1.0,0.0
119,0.36,0.3,0.28,0.06
